"Season","G","PA","AB","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","wRAA","Clutch"
"1974","21670","73904","66044","1369","7976","7428","1235","8.3 %","12.9 %",".113",".282",".258",".323",".371",".319","100","-26.8","-34.4","-204.2","226.3","44.8","-2.76"
"1975","21595","73788","65371","1465","8281","7744","1349","9.0 %","12.9 %",".121",".280",".258",".328",".379",".324","100","-33.6","-34.9","-211.3","224.8","155.4","-5.77"
"1976","21401","73665","65712","1122","7753","7185","1690","8.3 %","12.4 %",".105",".280",".256",".320",".361",".315","100","-2.4","-0.9","-187.8","226.3","19.7","-1.53"
"1977","24757","86642","77276","2013","10247","9609","1461","8.4 %","13.0 %",".139",".287",".266",".330",".405",".326","100","-23.8","-42.1","-286.9","264.6","162.6","-1.71"
"1978","24851","85874","76411","1680","9509","8888","1471","8.5 %","11.8 %",".124",".280",".261",".326",".385",".322","100","-37.2","-53.1","-219.0","265.5","295.8","5.69"
"1979","24566","86262","76704","2006","10527","9908","1496","8.6 %","11.7 %",".139",".286",".270",".334",".408",".331","100","-9.6","-15.5","-245.9","264.6","469.3","4.43"
"1980","25162","87150","77888","1844","10201","9574","1455","8.3 %","11.9 %",".130",".288",".269",".331",".399",".328","100","-27.5","-36.4","-306.5","267.1","497.4","-13.05"
"1981","16530","56868","50813","1062","6112","5763","913","8.4 %","12.1 %",".116",".276",".256",".321",".373",".317","100","-21.2","-19.1","-92.0","174.6","106.9","-10.77"
"1982","24543","87002","77886","2080","10163","9585","1394","8.4 %","12.6 %",".138",".282",".264",".328",".402",".326","100","-33.8","-45.4","-145.1","266.0","531.2","-10.66"
"1983","24870","86693","77821","1903","10177","9621","1539","8.2 %","12.7 %",".135",".286",".266",".328",".401",".325","100","-1.4","-17.9","-263.5","266.9","405.0","7.72"
"1984","25666","86858","77910","1980","10027","9445","1304","8.3 %","13.3 %",".134",".285",".264",".326",".398",".325","100","-35.8","-45.0","-161.3","266.4","471.7","9.36"
"1985","25228","86457","77258","2178","10317","9737","1461","8.6 %","13.6 %",".144",".281",".261",".327",".406",".325","100","-19.6","-28.2","-234.8","265.7","532.5","5.43"
"1986","24606","86852","77376","2290","10449","9839","1470","8.8 %","15.0 %",".146",".286",".262",".330",".408",".328","100","-18.3","-27.1","-270.1","266.3","500.7","3.43"
"1987","24680","87401","77819","2634","11112","10480","1734","8.9 %","15.4 %",".161",".288",".265",".333",".425",".331","100","-17.8","-32.2","-243.0","266.7","389.8","7.61"
"1988","24340","86121","77005","1901","9858","9178","1512","8.3 %","14.3 %",".131",".285",".259",".324",".391",".321","100","-26.3","-35.6","-286.2","266.2","572.9","-1.74"
"1989","24408","86204","77004","1718","9732","9103","1587","8.4 %","14.3 %",".123",".288",".261",".326",".384",".320","100","-0.4","-14.0","-325.7","266.3","460.0","10.75"
"1990","24924","86327","76800","1796","9746","9154","1503","8.8 %","14.7 %",".128",".287",".259",".327",".388",".322","100","-42.2","-72.1","-106.1","264.8","195.6","-17.15"
"1991","25099","87305","77603","1953","10172","9610","1469","8.9 %","14.8 %",".135",".288",".260",".329",".395",".325","100","-8.4","0.3","-223.6","267.9","461.0","1.51"
"1992","24289","86887","77147","1776","9802","9223","1704","8.9 %","14.0 %",".126",".285",".259",".328",".385",".323","100","-10.7","-22.7","-227.2","266.9","419.2","-14.23"
"1993","24236","87579","77506","2074","10674","10063","1549","9.1 %","14.8 %",".141",".294",".267",".337",".408",".331","100","-33.6","-50.0","-63.7","267.0","312.2","10.95"
"1994","16724","62553","55198","1774","8330","7885","1117","9.5 %","15.4 %",".161",".299",".273",".345",".434",".340","100","3.4","-27.4","-160.5","188.8","366.7","8.41"
"1995","21887","78878","69523","2164","10225","9691","1330","9.6 %","15.4 %",".157",".298",".270",".344",".427",".340","100","-8.8","-55.1","-192.7","238.4","455.9","5.18"
"1996","24512","89734","79090","2742","12208","11583","1455","9.6 %","15.7 %",".168",".304",".277",".350",".445",".347","100","-16.9","-35.5","-512.2","267.9","886.3","-8.23"
"1997","26995","88167","78236","2477","11164","10592","1491","9.0 %","16.6 %",".158",".302",".271",".340",".428",".337","99","-6.6","-74.5","-296.9","266.9","362.2","-8.13"
"1998","26884","88179","78419","2499","11365","10768","1675","8.8 %","16.4 %",".160",".302",".271",".340",".432",".338","99","5.7","-101.2","-217.7","267.2","471.8","-17.62"
"1999","26340","88424","78126","2635","11725","11140","1462","9.4 %","15.8 %",".165",".302",".275",".347",".439",".344","99","-17.8","-111.5","-189.6","265.9","254.7","-10.68"
"2000","27041","89007","78547","2688","11995","11418","1297","9.6 %","15.7 %",".168",".303",".276",".349",".443",".345","99","0.7","-89.8","-234.9","266.5","341.5","0.76"
"2001","26220","87523","78134","2506","11013","10508","1647","8.3 %","16.6 %",".161",".297",".267",".334",".428",".329","99","33.2","-49.6","-259.5","266.6","123.3","-6.71"
"2002","31103","87178","77791","2464","10892","10372","1236","8.4 %","16.3 %",".160",".292",".264",".331",".424",".329","99","36.4","-48.5","-263.5","265.8","221.1","17.57"
"2003","31446","87640","78320","2499","11033","10506","1279","8.2 %","15.8 %",".160",".294",".267",".333",".428",".330","99","22.1","-47.8","-270.9","266.2","174.1","-7.22"
"2004","31580","88332","78731","2605","11358","10814","1253","8.5 %","16.4 %",".163",".300",".270",".338",".433",".334","100","-9.1","-67.8","-206.4","266.8","267.8","-9.09"
"2005","31440","86968","78215","2437","10790","10266","1216","7.8 %","15.8 %",".157",".295",".268",".330",".424",".328","100","34.3","-10.1","-272.0","266.2","148.3","0.32"
"2006","31727","87676","78497","2546","11262","10743","1252","8.3 %","16.2 %",".162",".305",".275",".339",".437",".335","100","-40.4","-100.3","-190.0","265.6","271.1","0.00"
"2007","31934","87816","78294","2252","11114","10593","1354","8.5 %","16.8 %",".152",".305",".271",".338",".423",".333","100","-11.8","-61.9","-255.5","265.5","105.2","3.30"
"2008","31895","87630","78119","2270","10844","10338","1317","8.6 %","16.9 %",".152",".302",".268",".336",".420",".331","100","-38.7","-94.1","-236.3","266.0","203.2","-3.36"
"2009","31715","87538","77965","2560","10938","10437","1541","8.8 %","17.5 %",".161",".300",".267",".336",".428",".334","99","15.0","-84.0","-242.6","266.7","378.5","-23.59"
"2010","31575","86744","77467","2209","10097","9600","1505","8.5 %","17.5 %",".147",".295",".260",".327",".407",".324","99","-19.5","-114.7","-277.5","266.5","193.4","-12.81"
"2011","31278","86482","77586","2271","10117","9645","1600","8.1 %","18.0 %",".150",".294",".258",".323",".408",".321","99","-2.8","-82.4","-196.2","266.0","307.6","-20.31"
"2012","32031","86116","77437","2500","10088","9628","1501","8.0 %","19.3 %",".156",".293",".255",".320",".411",".318","99","-35.1","-111.5","-201.0","266.5","191.1","-16.21"
"2013","34406","92756","83380","2504","10525","10028","1428","8.1 %","19.8 %",".149",".298",".256",".320",".404",".318","99","16.7","-89.1","-314.7","286.1","315.5","-16.79"
"2014","34837","92189","83123","2161","10161","9636","1394","7.7 %","19.8 %",".137",".298",".253",".316",".390",".312","99","20.9","-70.4","-291.3","285.7","166.4","-8.61"
"2015","35104","91837","82836","2634","10651","10142","1185","7.7 %","19.9 %",".157",".296",".255",".318",".412",".317","99","-42.3","-117.5","-195.4","285.0","251.9","-24.37"
"2016","27837","92039","82926","2953","10970","10496","1149","8.0 %","20.7 %",".166",".298",".257",".321",".423",".320","99","-43.1","-129.8","-216.0","284.0","148.7","-22.66"
"2017","27631","92622","83034","3170","11443","10901","1272","8.4 %","21.4 %",".173",".298",".256",".324",".429",".322","99","-10.0","-92.9","-240.7","284.9","82.2","-15.70"
